,0
395346,506.0
376583,579.0
297790,533.0
47347,553.0
446772,466.0
415533,572.0
355671,629.0
11223,509.0
411384,615.0
21993,649.0
132157,543.0
218559,506.0
256293,530.0
181377,497.0
391183,569.0
462075,618.0
16073,590.0
388577,544.0
437997,624.0
445757,569.0
145869,613.0
307948,488.0
343246,587.0
176158,554.0
281463,537.0
142177,573.0
17474,533.0
178117,512.0
389540,527.0
410669,536.0
375210,621.0
48820,488.0
350511,564.0
51900,564.0
327219,603.0
901,580.0
114064,550.0
2760,501.0
92462,575.0
91727,513.0
60601,545.0
240842,543.0
207912,495.0
431144,536.0
89556,496.0
193117,494.0
346053,514.0
185025,530.0
4718,556.0
196965,589.0
186331,544.0
12879,552.0
441068,593.0
378733,595.0
357277,546.0
285942,585.0
219813,555.0
42079,525.0
383687,638.0
454484,563.0
306771,622.0
376255,443.0
256673,530.0
452972,557.0
100637,615.0
78229,611.0
88036,581.0
156259,495.0
379110,582.0
453932,560.0
256049,535.0
274190,563.0
373557,562.0
232248,583.0
265307,580.0
364299,540.0
145390,446.0
226585,561.0
3041,483.0
124590,547.0
107109,556.0
370742,495.0
149184,625.0
384735,528.0
222897,545.0
310855,536.0
334524,566.0
463557,509.0
44574,550.0
145032,612.0
303733,547.0
61016,530.0
191517,539.0
166802,612.0
95201,591.0
338904,418.0
82720,597.0
103240,554.0
303895,575.0
38777,528.0
359181,505.0
425972,525.0
394826,591.0
83059,554.0
20167,494.0
47531,571.0
183274,565.0
434607,530.0
221370,515.0
187050,514.0
203330,537.0
16444,634.0
115874,585.0
133956,562.0
135798,460.0
176157,552.0
313721,587.0
257547,548.0
139525,501.0
26009,516.0
339363,539.0
73806,543.0
26343,488.0
245863,572.0
40229,516.0
419283,603.0
396602,557.0
220867,547.0
445062,530.0
443049,514.0
291145,551.0
55978,562.0
5545,574.0
293319,552.0
62070,557.0
271095,564.0
379463,555.0
289266,551.0
134672,547.0
226191,486.0
444171,542.0
288655,523.0
378542,648.0
366775,555.0
99378,591.0
52172,619.0
449788,546.0
355292,543.0
348266,522.0
314457,484.0
23516,518.0
449897,560.0
460793,468.0
10392,513.0
241046,553.0
300944,572.0
153578,496.0
31534,600.0
310769,576.0
332317,580.0
334768,560.0
370114,581.0
388890,542.0
95660,568.0
41621,488.0
428021,572.0
22890,523.0
317662,583.0
319551,488.0
143161,539.0
159107,498.0
97599,639.0
83044,481.0
2644,499.0
115801,497.0
373845,562.0
82328,563.0
409859,548.0
263589,528.0
418540,563.0
108210,601.0
351450,482.0
194026,509.0
350063,616.0
129179,502.0
224434,500.0
426214,517.0
307690,530.0
312248,514.0
419254,538.0
66965,561.0
265440,573.0
166368,494.0
303643,524.0
83506,521.0
36709,494.0
13152,532.0
299219,580.0
377187,563.0
162048,571.0
98173,521.0
93481,594.0
389458,544.0
325613,587.0
120010,565.0
29945,507.0
119788,625.0
407860,611.0
260793,532.0
40992,483.0
338654,516.0
149135,543.0
126198,512.0
355379,550.0
178172,534.0
48812,599.0
205537,520.0
270352,626.0
443521,532.0
83184,485.0
110777,556.0
74265,604.0
283769,593.0
144669,542.0
213593,495.0
46433,540.0
285274,593.0
370139,562.0
177038,448.0
417241,553.0
34709,592.0
157577,584.0
411349,555.0
60797,498.0
397985,565.0
407084,620.0
146266,582.0
234629,510.0
296344,527.0
152781,629.0
75508,580.0
51204,491.0
100373,527.0
401002,564.0
43117,478.0
229632,500.0
40746,542.0
149945,608.0
231021,568.0
114800,566.0
328302,526.0
324968,531.0
27212,502.0
454599,632.0
207164,491.0
245497,564.0
97150,561.0
135442,552.0
405097,536.0
368664,624.0
254058,569.0
261410,528.0
79559,495.0
399097,504.0
2836,535.0
140907,564.0
454438,537.0
52090,600.0
246867,605.0
69694,531.0
8178,505.0
377898,548.0
159685,472.0
228116,474.0
404960,549.0
124170,541.0
141110,572.0
47113,559.0
459137,554.0
289817,578.0
158968,492.0
130400,639.0
339051,555.0
366757,622.0
386059,598.0
274443,535.0
316430,607.0
16816,569.0
241418,514.0
87228,577.0
214762,566.0
379868,527.0
150625,592.0
258629,598.0
223593,523.0
112538,692.0
72123,560.0
43034,563.0
445046,549.0
29939,554.0
365614,498.0
261119,552.0
109364,508.0
103132,508.0
226670,626.0
83522,572.0
124059,621.0
108659,609.0
18363,583.0
347937,541.0
272598,559.0
17818,527.0
295938,567.0
319152,545.0
63725,577.0
60370,532.0
66114,577.0
243375,585.0
311878,555.0
210598,553.0
462006,609.0
316381,629.0
384027,521.0
247932,507.0
345748,608.0
380212,557.0
155861,489.0
395964,535.0
364587,554.0
269956,571.0
162511,483.0
251744,582.0
225808,551.0
62516,507.0
14626,511.0
68060,537.0
23533,571.0
122414,544.0
42105,571.0
291570,576.0
271961,544.0
454804,535.0
325446,545.0
304697,564.0
330696,581.0
166073,599.0
191729,511.0
368480,573.0
215608,526.0
53297,537.0
192572,521.0
141808,584.0
407640,575.0
297399,553.0
227464,558.0
105307,550.0
351011,651.0
324158,556.0
429784,590.0
32454,521.0
24929,493.0
42812,480.0
350001,499.0
250326,561.0
10901,532.0
171691,574.0
275919,576.0
391210,554.0
401386,542.0
389323,556.0
194632,554.0
90994,687.0
225498,509.0
227087,526.0
394871,541.0
105121,598.0
42389,495.0
404138,534.0
37899,552.0
323744,567.0
371050,640.0
304410,581.0
323768,641.0
450784,523.0
180659,544.0
234766,527.0
247987,548.0
43852,525.0
462802,564.0
5136,499.0
425753,557.0
347322,557.0
417181,544.0
240407,544.0
13314,519.0
53895,580.0
315689,640.0
38679,509.0
457669,595.0
71546,551.0
260643,535.0
275779,526.0
455798,600.0
302923,559.0
274097,542.0
417334,548.0
225474,556.0
39675,524.0
54296,604.0
241892,512.0
463413,606.0
315523,559.0
82218,530.0
263165,571.0
120493,595.0
353014,582.0
456836,445.0
384354,501.0
294422,559.0
106849,589.0
235984,586.0
63280,591.0
401603,484.0
190946,565.0
315992,630.0
175885,561.0
291239,609.0
10624,526.0
51361,537.0
458324,569.0
295503,538.0
104190,490.0
426176,641.0
337003,525.0
206494,560.0
100536,568.0
240015,614.0
103944,576.0
311546,575.0
384013,579.0
26978,510.0
277759,580.0
194324,515.0
443880,571.0
300179,543.0
64147,534.0
322121,558.0
99458,548.0
353844,563.0
440730,556.0
291297,549.0
323556,582.0
419976,561.0
56311,537.0
212985,608.0
409805,601.0
227469,593.0
440305,506.0
41428,481.0
396370,490.0
193455,546.0
235333,549.0
300065,572.0
369875,551.0
420376,583.0
110691,520.0
346212,527.0
30213,537.0
197620,493.0
161474,624.0
70863,545.0
75390,542.0
423947,513.0
463951,488.0
303423,572.0
12161,565.0
186394,492.0
287039,540.0
56078,551.0
342291,497.0
222807,580.0
307009,567.0
438032,610.0
425898,615.0
202185,531.0
336161,510.0
102231,509.0
4582,577.0
288923,533.0
201738,555.0
244250,557.0
299224,555.0
247687,552.0
437890,494.0
292859,512.0
16813,532.0
37391,590.0
425082,625.0
167963,561.0
337116,560.0
28164,524.0
226001,500.0
95759,629.0
33005,549.0
194069,537.0
169191,465.0
104990,544.0
395431,576.0
94279,567.0
457880,534.0
268628,486.0
220019,572.0
134283,480.0
11919,600.0
11305,526.0
126698,529.0
278859,593.0
341140,565.0
200109,539.0
216222,524.0
160515,627.0
195094,628.0
295528,460.0
58760,501.0
393421,500.0
253346,538.0
65978,560.0
57816,613.0
50930,541.0
59513,521.0
375474,556.0
86205,508.0
365184,492.0
260450,556.0
342022,581.0
180411,461.0
439429,567.0
79451,538.0
344481,560.0
45932,521.0
74134,563.0
354276,552.0
436483,488.0
238284,518.0
254963,549.0
322213,624.0
131371,507.0
32316,625.0
162288,669.0
146639,486.0
249649,541.0
445313,529.0
217624,571.0
50131,661.0
184236,498.0
178180,532.0
19531,580.0
61843,533.0
166629,474.0
315445,600.0
433713,569.0
227745,573.0
315032,535.0
448598,510.0
128973,494.0
384803,623.0
387328,549.0
9273,496.0
213557,479.0
114225,519.0
25966,513.0
137163,534.0
309138,558.0
328244,569.0
27059,492.0
126284,554.0
162978,630.0
173743,536.0
422479,541.0
40547,576.0
345135,594.0
318248,557.0
242516,577.0
145950,498.0
373732,655.0
455541,626.0
233653,588.0
223810,489.0
440593,567.0
147427,577.0
155456,541.0
213797,495.0
335547,602.0
446146,580.0
216243,575.0
233852,565.0
77464,563.0
419787,586.0
59231,523.0
260120,595.0
177552,544.0
324393,550.0
263131,617.0
427701,648.0
419234,542.0
67425,576.0
334069,536.0
210911,518.0
313327,527.0
132183,550.0
246546,647.0
381249,524.0
44403,572.0
445230,561.0
366144,562.0
368437,526.0
95490,547.0
374295,583.0
115786,506.0
291931,587.0
85615,561.0
409401,565.0
311575,536.0
138219,611.0
187885,557.0
407500,563.0
101092,517.0
80725,553.0
21317,496.0
203942,564.0
115176,422.0
437586,616.0
169128,554.0
245805,566.0
367629,544.0
39315,519.0
126416,496.0
142532,485.0
404896,516.0
212688,529.0
177133,477.0
402439,514.0
168791,592.0
373621,564.0
356168,583.0
10380,525.0
331883,562.0
161952,477.0
296638,445.0
134061,501.0
114666,624.0
256722,486.0
341935,490.0
165155,533.0
97742,524.0
240194,580.0
381123,515.0
70309,535.0
233044,605.0
390811,565.0
404320,540.0
308429,562.0
39860,502.0
351734,573.0
115204,479.0
271105,539.0
90590,427.0
359835,578.0
233129,575.0
19624,558.0
43656,491.0
461676,498.0
76116,532.0
323605,554.0
65368,550.0
107107,545.0
442524,548.0
66129,537.0
6420,565.0
66767,564.0
72371,544.0
229756,536.0
302684,554.0
208996,565.0
164559,482.0
441449,598.0
134105,541.0
95863,545.0
122607,599.0
190647,509.0
345777,560.0
235238,558.0
180753,577.0
408810,543.0
83390,520.0
185473,518.0
318683,504.0
142160,574.0
373099,589.0
211476,505.0
375058,579.0
191737,550.0
79968,493.0
15542,550.0
74979,629.0
436930,553.0
108266,503.0
361014,575.0
379501,532.0
186865,480.0
341198,501.0
371101,569.0
271449,633.0
340210,570.0
419179,513.0
52797,602.0
155785,652.0
278350,543.0
550,547.0
75464,485.0
356746,530.0
458139,570.0
389764,580.0
352318,562.0
78073,596.0
457460,478.0
124371,532.0
63088,539.0
107665,624.0
96253,601.0
375143,497.0
189364,523.0
221646,507.0
89841,560.0
20202,505.0
326176,532.0
380523,509.0
207022,538.0
341710,535.0
209719,512.0
400014,497.0
308920,561.0
366823,562.0
191430,538.0
409413,539.0
278222,485.0
376492,518.0
56381,543.0
102316,598.0
150405,524.0
171510,566.0
7933,532.0
202448,583.0
198975,494.0
438162,592.0
200570,556.0
342384,561.0
176915,523.0
29291,540.0
87361,609.0
141169,485.0
362153,644.0
292879,547.0
464006,490.0
309027,630.0
346438,534.0
335843,551.0
259886,579.0
71750,597.0
2204,553.0
443575,577.0
324547,534.0
390928,482.0
181919,524.0
295474,643.0
191770,546.0
403278,508.0
11746,481.0
457452,543.0
55584,566.0
429390,518.0
309094,546.0
285347,545.0
143017,489.0
223606,558.0
27321,501.0
181648,487.0
382490,569.0
103139,559.0
2531,521.0
347788,511.0
215180,505.0
401086,548.0
71842,557.0
203518,546.0
451359,529.0
288122,529.0
46994,584.0
283051,555.0
364145,528.0
406786,514.0
262608,621.0
304967,567.0
214846,500.0
304240,681.0
46350,600.0
180559,611.0
416153,556.0
463839,546.0
461705,562.0
465960,546.0
267143,562.0
450788,564.0
47505,565.0
91542,474.0
50649,671.0
188606,553.0
48599,496.0
425673,559.0
152209,601.0
409998,484.0
188432,511.0
225500,607.0
271319,573.0
424835,553.0
405751,630.0
359375,516.0
50668,549.0
453109,581.0
285613,567.0
21081,553.0
175987,564.0
423519,527.0
150733,623.0
418152,596.0
57657,563.0
112726,502.0
34078,524.0
436735,552.0
152684,508.0
161430,605.0
418399,586.0
201774,533.0
332424,572.0
359415,537.0
64735,413.0
266903,533.0
389520,571.0
118183,601.0
24318,618.0
81173,579.0
227780,464.0
261361,572.0
251879,572.0
189440,533.0
7655,531.0
250515,566.0
420052,561.0
379510,580.0
296946,535.0
52673,623.0
447929,612.0
329282,485.0
54263,570.0
159058,547.0
80880,501.0
401186,567.0
145282,634.0
52464,507.0
256772,570.0
9161,498.0
352936,574.0
169569,594.0
19941,525.0
193581,567.0
402111,536.0
69706,507.0
325904,545.0
458210,535.0
366779,548.0
186638,573.0
216439,559.0
404498,498.0
434646,546.0
159807,534.0
101405,610.0
356445,528.0
357382,546.0
262725,575.0
426464,521.0
315111,452.0
245778,483.0
433993,539.0
281040,566.0
183783,466.0
461381,519.0
70641,518.0
453657,656.0
233836,548.0
141223,577.0
71343,626.0
208854,514.0
356156,554.0
153030,487.0
210875,533.0
187705,528.0
1871,532.0
185713,574.0
262242,569.0
33920,506.0
167554,536.0
365621,538.0
257761,563.0
457253,555.0
221560,588.0
383369,579.0
296587,536.0
178124,602.0
351907,625.0
72825,568.0
108140,630.0
238293,577.0
187230,533.0
278272,546.0
19784,478.0
407496,510.0
180226,628.0
44151,494.0
246862,573.0
398225,478.0
397824,626.0
300017,498.0
251384,550.0
217433,492.0
166375,507.0
78436,537.0
355780,554.0
178837,571.0
12391,623.0
373282,556.0
219425,558.0
94880,556.0
285957,568.0
10263,544.0
464824,636.0
33049,544.0
444981,480.0
316073,581.0
93103,561.0
395082,659.0
17118,506.0
295488,566.0
371004,583.0
158886,558.0
167956,578.0
194837,474.0
93886,542.0
7024,519.0
441243,524.0
17251,457.0
154666,511.0
185208,562.0
262015,506.0
303989,515.0
73551,543.0
297410,563.0
172565,570.0
180096,538.0
55549,544.0
321645,503.0
406112,492.0
405373,470.0
272745,558.0
451865,493.0
51089,646.0
316556,486.0
101646,572.0
390978,497.0
21502,524.0
21539,521.0
309049,583.0
459407,464.0
234737,550.0
92206,576.0
175162,494.0
333079,553.0
193718,552.0
159526,546.0
147549,595.0
98276,596.0
58285,601.0
412765,542.0
313957,503.0
400280,542.0
457260,620.0
65493,559.0
152358,496.0
116283,493.0
106013,541.0
163198,589.0
107320,525.0
236172,585.0
90728,538.0
114541,505.0
110966,494.0
91850,563.0
380443,551.0
203285,482.0
93976,484.0
393033,561.0
218906,541.0
400660,618.0
8592,609.0
334261,525.0
462207,514.0
139566,527.0
182631,497.0
341211,629.0
172442,574.0
246778,575.0
115953,548.0
172465,489.0
119,548.0
61120,633.0
187509,491.0
213750,543.0
81990,499.0
141316,583.0
85614,561.0
269661,585.0
203926,523.0
285505,632.0
47593,514.0
188947,532.0
186878,557.0
101953,620.0
97325,621.0
72653,571.0
99291,615.0
111028,589.0
190485,477.0
392366,567.0
57768,505.0
464920,594.0
37381,515.0
402650,572.0
180771,615.0
406724,639.0
134460,556.0
194661,518.0
266169,568.0
80087,556.0
344433,497.0
419386,570.0
129434,493.0
241569,539.0
262058,556.0
7881,503.0
414086,602.0
381846,517.0
246837,591.0
41946,467.0
39684,531.0
350522,528.0
298744,535.0
103300,549.0
356738,540.0
55092,553.0
352375,569.0
199529,546.0
272551,590.0
120847,608.0
350469,519.0
384520,587.0
231271,639.0
365457,581.0
35288,566.0
444916,617.0
327584,579.0
449360,650.0
272353,584.0
162332,512.0
18727,528.0
364543,533.0
141650,488.0
451968,549.0
92205,569.0
390934,549.0
